"성씨, 본관별","행정구역별(시군구)",2015
"봉(奉)","충청남도",495
"봉(奉)","전라북도",568
"봉(奉)","전라남도",548
"봉(奉)","경상북도",142
"봉(奉)","경상남도",173
"봉(奉)","제주특별자치도",30
"부(夫)","전국",10536
"부(夫)","서울특별시",1437
"부(夫)","부산광역시",719
"부(夫)","대구광역시",101
"부(夫)","인천광역시",302
"부(夫)","광주광역시",176
"부(夫)","대전광역시",130
"부(夫)","울산광역시",125
"부(夫)","세종특별자치시",10
"부(夫)","경기도",1294
"부(夫)","강원도",83
"부(夫)","충청북도",60
"부(夫)","충청남도",127
"부(夫)","전라북도",101
"부(夫)","전라남도",318
"부(夫)","경상북도",112
"부(夫)","경상남도",306
"부(夫)","제주특별자치도",5135
"빈(賓)","전국",5593
"빈(賓)","서울특별시",738
"빈(賓)","부산광역시",884
"빈(賓)","대구광역시",329
"빈(賓)","인천광역시",198
"빈(賓)","광주광역시",42
"빈(賓)","대전광역시",297
"빈(賓)","울산광역시",155
"빈(賓)","세종특별자치시",22
"빈(賓)","경기도",991
"빈(賓)","강원도",67
"빈(賓)","충청북도",123
"빈(賓)","충청남도",154
"빈(賓)","전라북도",296
"빈(賓)","전라남도",156
"빈(賓)","경상북도",192
"빈(賓)","경상남도",922
"빈(賓)","제주특별자치도",27
"사(史)","전국",10730
"사(史)","서울특별시",2113
"사(史)","부산광역시",444
"사(史)","대구광역시",376
"사(史)","인천광역시",815
"사(史)","광주광역시",134
"사(史)","대전광역시",287
"사(史)","울산광역시",148
"사(史)","세종특별자치시",152
"사(史)","경기도",3243
"사(史)","강원도",709
"사(史)","충청북도",577
"사(史)","충청남도",309
"사(史)","전라북도",164
"사(史)","전라남도",202
"사(史)","경상북도",517
"사(史)","경상남도",516
"사(史)","제주특별자치도",24
"사공(司空)","전국",4476
"사공(司空)","서울특별시",570
"사공(司空)","부산광역시",359
"사공(司空)","대구광역시",1469
"사공(司空)","인천광역시",81
"사공(司空)","광주광역시",13
"사공(司空)","대전광역시",66
"사공(司空)","울산광역시",112
"사공(司空)","세종특별자치시",28
"사공(司空)","경기도",583
"사공(司空)","강원도",80
"사공(司空)","충청북도",56
"사공(司空)","충청남도",69
"사공(司空)","전라북도",10
"사공(司空)","전라남도",14
"사공(司空)","경상북도",771
"사공(司空)","경상남도",180
"사공(司空)","제주특별자치도",15
"상(尙)","전국",2376
"상(尙)","서울특별시",574
"상(尙)","부산광역시",67
"상(尙)","대구광역시",108
"상(尙)","인천광역시",211
"상(尙)","광주광역시",16
"상(尙)","대전광역시",149
"상(尙)","울산광역시",23
"상(尙)","세종특별자치시",12
"상(尙)","경기도",707
"상(尙)","강원도",53
"상(尙)","충청북도",41
"상(尙)","충청남도",244
"상(尙)","전라북도",76
"상(尙)","경상북도",42
"상(尙)","경상남도",42
"상(尙)","제주특별자치도",7
"서(徐)","전국",751704
"서(徐)","서울특별시",138669
"서(徐)","부산광역시",56327
"서(徐)","대구광역시",47094
"서(徐)","인천광역시",39340
"서(徐)","광주광역시",24550
"서(徐)","대전광역시",21756
"서(徐)","울산광역시",20061
"서(徐)","세종특별자치시",2690
"서(徐)","경기도",169667
"서(徐)","강원도",15957
"서(徐)","충청북도",20044
"서(徐)","충청남도",27840
"서(徐)","전라북도",29246
"서(徐)","전라남도",36868
"서(徐)","경상북도",42187
"서(徐)","경상남도",55113
"서(徐)","제주특별자치도",4295
"서문(西門)","전국",2028
"서문(西門)","서울특별시",395
"서문(西門)","부산광역시",100
"서문(西門)","대구광역시",47
"서문(西門)","인천광역시",103
"서문(西門)","광주광역시",10
"서문(西門)","대전광역시",176
"서문(西門)","울산광역시",27
"서문(西門)","세종특별자치시",6
"서문(西門)","경기도",470
"서문(西門)","강원도",14
"서문(西門)","충청북도",34
"서문(西門)","충청남도",150
"서문(西門)","전라북도",346
"서문(西門)","전라남도",26
"서문(西門)","경상북도",29
"서문(西門)","경상남도",90
"서문(西門)","제주특별자치도",5
"석(昔)","전국",11355
"석(昔)","서울특별시",1877
"석(昔)","부산광역시",616
"석(昔)","대구광역시",664
"석(昔)","인천광역시",621
"석(昔)","광주광역시",151
"석(昔)","대전광역시",486
"석(昔)","울산광역시",379
"석(昔)","세종특별자치시",51
"석(昔)","경기도",2645
"석(昔)","강원도",647
"석(昔)","충청북도",376
"석(昔)","충청남도",812
"석(昔)","전라북도",365
"석(昔)","전라남도",207
"석(昔)","경상북도",964
"석(昔)","경상남도",456
"석(昔)","제주특별자치도",38
"석(石)","전국",49203
"석(石)","서울특별시",8405
"석(石)","부산광역시",4372
"석(石)","대구광역시",6993
"석(石)","인천광역시",2242
"석(石)","광주광역시",407
"석(石)","대전광역시",870
"석(石)","울산광역시",1242
"석(石)","세종특별자치시",129
"석(石)","경기도",10662
"석(石)","강원도",1298
"석(石)","충청북도",1655
"석(石)","충청남도",1190
"석(石)","전라북도",440
"석(石)","전라남도",384
"석(石)","경상북도",4523
"석(石)","경상남도",4225
"석(石)","제주특별자치도",166
"선(宣)","전국",42733
"선(宣)","서울특별시",9101
"선(宣)","부산광역시",2258
"선(宣)","대구광역시",359
"선(宣)","인천광역시",2229
"선(宣)","광주광역시",5054
"선(宣)","대전광역시",867
"선(宣)","울산광역시",607
"선(宣)","세종특별자치시",126
"선(宣)","경기도",10756
"선(宣)","강원도",1042
"선(宣)","충청북도",804
"선(宣)","충청남도",958
"선(宣)","전라북도",1661
"선(宣)","전라남도",4313
"선(宣)","경상북도",567
"선(宣)","경상남도",1752
"선(宣)","제주특별자치도",279
"선우(鮮于)","전국",3588
"선우(鮮于)","서울특별시",1067
"선우(鮮于)","부산광역시",138
"선우(鮮于)","대구광역시",48
"선우(鮮于)","인천광역시",237
"선우(鮮于)","광주광역시",12
"선우(鮮于)","대전광역시",166
"선우(鮮于)","울산광역시",46
"선우(鮮于)","세종특별자치시",34
"선우(鮮于)","경기도",1087
"선우(鮮于)","강원도",171
"선우(鮮于)","충청북도",62
"선우(鮮于)","충청남도",278
"선우(鮮于)","전라북도",33
"선우(鮮于)","전라남도",19
"선우(鮮于)","경상북도",100
"선우(鮮于)","경상남도",77
"선우(鮮于)","제주특별자치도",13
"설(偰)","전국",2937
"설(偰)","서울특별시",730
"설(偰)","부산광역시",53
"설(偰)","대구광역시",14
"설(偰)","인천광역시",189
"설(偰)","광주광역시",340
"설(偰)","대전광역시",47
"설(偰)","울산광역시",8
"설(偰)","세종특별자치시",8
"설(偰)","경기도",736
"설(偰)","강원도",14
"설(偰)","충청북도",32
"설(偰)","충청남도",104
"설(偰)","전라북도",369
"설(偰)","전라남도",206
"설(偰)","경상북도",12
"설(偰)","경상남도",65
"설(偰)","제주특별자치도",10
"설(薛)","전국",42646
"설(薛)","서울특별시",7814
"설(薛)","부산광역시",3854
"설(薛)","대구광역시",1974
"설(薛)","인천광역시",2035
"설(薛)","광주광역시",1431
"설(薛)","대전광역시",1575
"설(薛)","울산광역시",1207
"설(薛)","세종특별자치시",118
"설(薛)","경기도",9693
"설(薛)","강원도",772
"설(薛)","충청북도",932
"설(薛)","충청남도",1316
"설(薛)","전라북도",2236
"설(薛)","전라남도",1496
"설(薛)","경상북도",2366
"설(薛)","경상남도",3630
"설(薛)","제주특별자치도",197
"성(成)","전국",199124
"성(成)","서울특별시",37674
"성(成)","부산광역시",17887
"성(成)","대구광역시",12733
"성(成)","인천광역시",10026
"성(成)","광주광역시",3232
"성(成)","대전광역시",8102
"성(成)","울산광역시",4471
"성(成)","세종특별자치시",1426
"성(成)","경기도",44826
"성(成)","강원도",3790
"성(成)","충청북도",6097
"성(成)","충청남도",8721
"성(成)","전라북도",6025
"성(成)","전라남도",4166
"성(成)","경상북도",10642
"성(成)","경상남도",17941
"성(成)","제주특별자치도",1365
"소(蘇)","전국",52427
"소(蘇)","서울특별시",11126
"소(蘇)","부산광역시",2036
"소(蘇)","대구광역시",2202
"소(蘇)","인천광역시",2472
"소(蘇)","광주광역시",1603
"소(蘇)","대전광역시",1818
"소(蘇)","울산광역시",570
"소(蘇)","세종특별자치시",242
"소(蘇)","경기도",12712
"소(蘇)","강원도",545
"소(蘇)","충청북도",871
"소(蘇)","충청남도",1883
"소(蘇)","전라북도",8880
"소(蘇)","전라남도",2270
"소(蘇)","경상북도",1159
"소(蘇)","경상남도",1788
"소(蘇)","제주특별자치도",250
"소(邵)","전국",1309
"소(邵)","서울특별시",329
"소(邵)","부산광역시",34
"소(邵)","대구광역시",85
"소(邵)","인천광역시",95
"소(邵)","광주광역시",9
"소(邵)","대전광역시",11
"소(邵)","세종특별자치시",13
"소(邵)","경기도",364
"소(邵)","강원도",18
"소(邵)","충청북도",19
"소(邵)","충청남도",26
"소(邵)","전라북도",24
"소(邵)","전라남도",22
"소(邵)","경상북도",51
"소(邵)","경상남도",8
"소(邵)","제주특별자치도",198
"손(孫)","전국",457303
"손(孫)","서울특별시",77478
"손(孫)","부산광역시",43641
"손(孫)","대구광역시",33985
"손(孫)","인천광역시",21187
"손(孫)","광주광역시",11072
"손(孫)","대전광역시",13408
"손(孫)","울산광역시",15139
"손(孫)","세종특별자치시",1482
"손(孫)","경기도",94103
"손(孫)","강원도",12014
"손(孫)","충청북도",13109
"손(孫)","충청남도",15369
"손(孫)","전라북도",11062
"손(孫)","전라남도",13706
"손(孫)","경상북도",38792
"손(孫)","경상남도",39358
"손(孫)","제주특별자치도",2398
"송(宋)","전국",683494
"송(宋)","서울특별시",136518
"송(宋)","부산광역시",43436
"송(宋)","대구광역시",23329
"송(宋)","인천광역시",38476
"송(宋)","광주광역시",21269
"송(宋)","대전광역시",33793
"송(宋)","울산광역시",13150
"송(宋)","세종특별자치시",3043
"송(宋)","경기도",168764
"송(宋)","강원도",16114
"송(宋)","충청북도",21302
"송(宋)","충청남도",27776
"송(宋)","전라북도",35408
"송(宋)","전라남도",24884
"송(宋)","경상북도",25693
"송(宋)","경상남도",38670
"송(宋)","제주특별자치도",11869
"승(承)","전국",2619
"승(承)","서울특별시",718
"승(承)","부산광역시",109
"승(承)","대구광역시",78
"승(承)","인천광역시",216
"승(承)","광주광역시",82
"승(承)","대전광역시",59
"승(承)","울산광역시",22
"승(承)","경기도",801
"승(承)","강원도",122
"승(承)","충청북도",55
"승(承)","충청남도",109
"승(承)","전라북도",62
"승(承)","전라남도",80
"승(承)","경상북도",57
"승(承)","경상남도",46
"시(施)","전국",2235
"시(施)","서울특별시",170
"시(施)","부산광역시",185
"시(施)","대구광역시",970
"시(施)","인천광역시",41
"시(施)","광주광역시",26
"시(施)","대전광역시",29
"시(施)","울산광역시",67
"시(施)","경기도",245
"시(施)","강원도",5
"시(施)","충청북도",7
"시(施)","충청남도",28
"시(施)","전라북도",12
"시(施)","전라남도",6
"시(施)","경상북도",314
"시(施)","경상남도",123
"시(施)","제주특별자치도",5
"시(柴)","전국",2114
"시(柴)","서울특별시",523
"시(柴)","부산광역시",96
"시(柴)","대구광역시",16
"시(柴)","인천광역시",101
"시(柴)","광주광역시",34
"시(柴)","대전광역시",55
"시(柴)","울산광역시",11
"시(柴)","경기도",546
"시(柴)","강원도",16
"시(柴)","충청북도",12
"시(柴)","충청남도",101
"시(柴)","전라북도",469
"시(柴)","전라남도",21
"시(柴)","경상북도",21
"시(柴)","경상남도",71
"시(柴)","제주특별자치도",18
"신(愼)","전국",51865
"신(愼)","서울특별시",10764
"신(愼)","부산광역시",5169
"신(愼)","대구광역시",2519
"신(愼)","인천광역시",2720
"신(愼)","광주광역시",687
"신(愼)","대전광역시",1409
"신(愼)","울산광역시",1145
"신(愼)","세종특별자치시",334
"신(愼)","경기도",12699
"신(愼)","강원도",578
"신(愼)","충청북도",1116
"신(愼)","충청남도",1416
"신(愼)","전라북도",1650
"신(愼)","전라남도",976
"신(愼)","경상북도",1623
"신(愼)","경상남도",5358
"신(愼)","제주특별자치도",1702
"신(申)","전국",741081
"신(申)","서울특별시",151785
"신(申)","부산광역시",37672
"신(申)","대구광역시",39330
"신(申)","인천광역시",45006
"신(申)","광주광역시",22462
"신(申)","대전광역시",23430
"신(申)","울산광역시",12270
"신(申)","세종특별자치시",3123
"신(申)","경기도",190539
"신(申)","강원도",20075
"신(申)","충청북도",31439
"신(申)","충청남도",35086
"신(申)","전라북도",25210
"신(申)","전라남도",26909
"신(申)","경상북도",39053
"신(申)","경상남도",32510
"신(申)","제주특별자치도",5182
"신(辛)","전국",192877
"신(辛)","서울특별시",33751
"신(辛)","부산광역시",20188
"신(辛)","대구광역시",7366
"신(辛)","인천광역시",8635
"신(辛)","광주광역시",2958
"신(辛)","대전광역시",5462
"신(辛)","울산광역시",7496
"신(辛)","세종특별자치시",571
"신(辛)","경기도",43935
"신(辛)","강원도",11656
"신(辛)","충청북도",9492
"신(辛)","충청남도",5471
"신(辛)","전라북도",4016
"신(辛)","전라남도",2597
"신(辛)","경상북도",9287
"신(辛)","경상남도",19432
"신(辛)","제주특별자치도",564
"심(沈)","전국",271749
"심(沈)","서울특별시",53512
"심(沈)","부산광역시",16829
"심(沈)","대구광역시",10123
"심(沈)","인천광역시",17036
"심(沈)","광주광역시",7543
"심(沈)","대전광역시",7344
"심(沈)","울산광역시",6829
"심(沈)","세종특별자치시",813
"심(沈)","경기도",70317
"심(沈)","강원도",16794
"심(沈)","충청북도",8159
"심(沈)","충청남도",10056
"심(沈)","전라북도",8857
"심(沈)","전라남도",6858
"심(沈)","경상북도",11335
"심(沈)","경상남도",18445
"심(沈)","제주특별자치도",899
"안(安)","전국",685639
"안(安)","서울특별시",135123
"안(安)","부산광역시",44971
"안(安)","대구광역시",26934
"안(安)","인천광역시",41104
"안(安)","광주광역시",16369
"안(安)","대전광역시",20143
"안(安)","울산광역시",15400
"안(安)","세종특별자치시",3086
"안(安)","경기도",178085
"안(安)","강원도",24961
"안(安)","충청북도",26999
"안(安)","충청남도",26693
"안(安)","전라북도",21603
"안(安)","전라남도",17180
"안(安)","경상북도",36383
"안(安)","경상남도",45274
"안(安)","제주특별자치도",5331
"양(梁)","전국",460600
"양(梁)","서울특별시",91018
"양(梁)","부산광역시",28018
"양(梁)","대구광역시",11186
"양(梁)","인천광역시",24983
"양(梁)","광주광역시",23109
"양(梁)","대전광역시",15938
"양(梁)","울산광역시",7153
"양(梁)","세종특별자치시",1846
"양(梁)","경기도",109352
"양(梁)","강원도",9151
"양(梁)","충청북도",11130
"양(梁)","충청남도",18065
"양(梁)","전라북도",24786
"양(梁)","전라남도",23619
"양(梁)","경상북도",13471
"양(梁)","경상남도",24056
"양(梁)","제주특별자치도",23719
"양(楊)","전국",69101
"양(楊)","서울특별시",14292
"양(楊)","부산광역시",4033
"양(楊)","대구광역시",5915
"양(楊)","인천광역시",3539
"양(楊)","광주광역시",1171
"양(楊)","대전광역시",2106
"양(楊)","울산광역시",1585
"양(楊)","세종특별자치시",372
"양(楊)","경기도",17570
"양(楊)","강원도",1207
"양(楊)","충청북도",2176
"양(楊)","충청남도",2209
"양(楊)","전라북도",4411
"양(楊)","전라남도",1255
"양(楊)","경상북도",4019
"양(楊)","경상남도",2957
"양(楊)","제주특별자치도",284
"어(魚)","전국",18849
"어(魚)","서울특별시",4224
"어(魚)","부산광역시",1113
"어(魚)","대구광역시",474
"어(魚)","인천광역시",975
"어(魚)","광주광역시",81
"어(魚)","대전광역시",395
"어(魚)","울산광역시",385
"어(魚)","세종특별자치시",76
"어(魚)","경기도",5749
"어(魚)","강원도",1275
"어(魚)","충청북도",1461
"어(魚)","충청남도",552
"어(魚)","전라북도",111
"어(魚)","전라남도",170
"어(魚)","경상북도",603
"어(魚)","경상남도",1158
"어(魚)","제주특별자치도",47
"엄(嚴)","전국",144425
"엄(嚴)","서울특별시",26944
"엄(嚴)","부산광역시",9023
"엄(嚴)","대구광역시",6515
"엄(嚴)","인천광역시",8366
"엄(嚴)","광주광역시",1557
"엄(嚴)","대전광역시",3595
"엄(嚴)","울산광역시",5323
"엄(嚴)","세종특별자치시",547
"엄(嚴)","경기도",38367
"엄(嚴)","강원도",10509
"엄(嚴)","충청북도",6402
"엄(嚴)","충청남도",5470
"엄(嚴)","전라북도",3605
"엄(嚴)","전라남도",2286
"엄(嚴)","경상북도",8731
"엄(嚴)","경상남도",6761
"엄(嚴)","제주특별자치도",424
"여(余)","전국",20134
"여(余)","서울특별시",2823
"여(余)","부산광역시",3367
"여(余)","대구광역시",1256
"여(余)","인천광역시",709
"여(余)","광주광역시",196
"여(余)","대전광역시",295
"여(余)","울산광역시",684
"여(余)","세종특별자치시",35
"여(余)","경기도",3207
"여(余)","강원도",411
"여(余)","충청북도",384
"여(余)","충청남도",362
"여(余)","전라북도",252
"여(余)","전라남도",352
"여(余)","경상북도",1713
"여(余)","경상남도",4027
"여(余)","제주특별자치도",61
"여(呂)","전국",60522
"여(呂)","서울특별시",10819
"여(呂)","부산광역시",3522
"여(呂)","대구광역시",7169
"여(呂)","인천광역시",3166
"여(呂)","광주광역시",1508
"여(呂)","대전광역시",2432
"여(呂)","울산광역시",1254
"여(呂)","세종특별자치시",308
"여(呂)","경기도",13526
"여(呂)","강원도",1199
"여(呂)","충청북도",1990
"여(呂)","충청남도",2000
"여(呂)","전라북도",1753
"여(呂)","전라남도",1807
"여(呂)","경상북도",4863
"여(呂)","경상남도",2924
"여(呂)","제주특별자치도",282
"연(延)","전국",34766
"연(延)","서울특별시",7012
"연(延)","부산광역시",674
"연(延)","대구광역시",457
"연(延)","인천광역시",1994
"연(延)","광주광역시",109
"연(延)","대전광역시",1984
"연(延)","울산광역시",323
"연(延)","세종특별자치시",264
"연(延)","경기도",9267
"연(延)","강원도",1207
"연(延)","충청북도",8371
"연(延)","충청남도",1274
"연(延)","전라북도",291
"연(延)","전라남도",266
"연(延)","경상북도",562
"연(延)","경상남도",640
"연(延)","제주특별자치도",71
"염(廉)","전국",69387
"염(廉)","서울특별시",13959
"염(廉)","부산광역시",4017
"염(廉)","대구광역시",1602
"염(廉)","인천광역시",4343
"염(廉)","광주광역시",3274
"염(廉)","대전광역시",3411
"염(廉)","울산광역시",1156
"염(廉)","세종특별자치시",352
"염(廉)","경기도",18968
"염(廉)","강원도",2672
"염(廉)","충청북도",2602
"염(廉)","충청남도",2742
"염(廉)","전라북도",2116
"염(廉)","전라남도",2439
"염(廉)","경상북도",1866
"염(廉)","경상남도",3599
"염(廉)","제주특별자치도",269
"예(芮)","전국",13568
"예(芮)","서울특별시",1990
"예(芮)","부산광역시",2172
"예(芮)","대구광역시",1909
"예(芮)","인천광역시",489
"예(芮)","광주광역시",29
"예(芮)","대전광역시",249
"예(芮)","울산광역시",470
"예(芮)","세종특별자치시",24
"예(芮)","경기도",2679
"예(芮)","강원도",166
"예(芮)","충청북도",196
"예(芮)","충청남도",204
"예(芮)","전라북도",64
"예(芮)","전라남도",88
"예(芮)","경상북도",1455
"예(芮)","경상남도",1315
"예(芮)","제주특별자치도",69
"오(吳)","전국",763281
"오(吳)","서울특별시",150941
"오(吳)","부산광역시",43436
"오(吳)","대구광역시",28203
"오(吳)","인천광역시",44527
"오(吳)","광주광역시",28059
"오(吳)","대전광역시",30372
"오(吳)","울산광역시",14198
"오(吳)","세종특별자치시",4079
"오(吳)","경기도",185054
"오(吳)","강원도",16420
"오(吳)","충청북도",27604
"오(吳)","충청남도",34409
"오(吳)","전라북도",35626
"오(吳)","전라남도",29574
"오(吳)","경상북도",30741
"오(吳)","경상남도",38333
"오(吳)","제주특별자치도",21705
"옥(玉)","전국",25107
"옥(玉)","서울특별시",3636
"옥(玉)","부산광역시",4471
"옥(玉)","대구광역시",926
"옥(玉)","인천광역시",921
"옥(玉)","광주광역시",328
"옥(玉)","대전광역시",267
"옥(玉)","울산광역시",613
"옥(玉)","세종특별자치시",42
"옥(玉)","경기도",3859
"옥(玉)","강원도",389
"옥(玉)","충청북도",305
"옥(玉)","충청남도",411
"옥(玉)","전라북도",482
"옥(玉)","전라남도",569
"옥(玉)","경상북도",851
"옥(玉)","경상남도",6962
"옥(玉)","제주특별자치도",75
"온(溫)","전국",5418
"온(溫)","서울특별시",1266
"온(溫)","부산광역시",142
"온(溫)","대구광역시",96
"온(溫)","인천광역시",331
"온(溫)","광주광역시",63
"온(溫)","대전광역시",87
"온(溫)","울산광역시",58
"온(溫)","세종특별자치시",47
"온(溫)","경기도",1486
"온(溫)","강원도",105
"온(溫)","충청북도",88
"온(溫)","충청남도",201
"온(溫)","전라북도",1111
"온(溫)","전라남도",54
"온(溫)","경상북도",97
"온(溫)","경상남도",172
"온(溫)","제주특별자치도",14
"왕(王)","전국",25565
"왕(王)","서울특별시",5853
"왕(王)","부산광역시",1818
"왕(王)","대구광역시",478
"왕(王)","인천광역시",1610
"왕(王)","광주광역시",444
"왕(王)","대전광역시",618
"왕(王)","울산광역시",382
"왕(王)","세종특별자치시",104
"왕(王)","경기도",7370
"왕(王)","강원도",717
"왕(王)","충청북도",823
"왕(王)","충청남도",674
"왕(王)","전라북도",1548
"왕(王)","전라남도",764
"왕(王)","경상북도",508
"왕(王)","경상남도",1755
"왕(王)","제주특별자치도",99
"용(龍)","전국",15276
"용(龍)","서울특별시",2989
"용(龍)","부산광역시",365
"용(龍)","대구광역시",293
"용(龍)","인천광역시",1031
"용(龍)","광주광역시",356
"용(龍)","대전광역시",214
"용(龍)","울산광역시",154
"용(龍)","세종특별자치시",37
"용(龍)","경기도",5196
"용(龍)","강원도",2346
"용(龍)","충청북도",334
"용(龍)","충청남도",384
"용(龍)","전라북도",156
"용(龍)","전라남도",606
"용(龍)","경상북도",317
"용(龍)","경상남도",307
"용(龍)","제주특별자치도",191
"우(禹)","전국",194713
"우(禹)","서울특별시",35033
"우(禹)","부산광역시",13939
"우(禹)","대구광역시",15656
"우(禹)","인천광역시",9787
"우(禹)","광주광역시",1973
"우(禹)","대전광역시",5816
"우(禹)","울산광역시",6062
"우(禹)","세종특별자치시",644
"우(禹)","경기도",46510
"우(禹)","강원도",5790
"우(禹)","충청북도",8702
"우(禹)","충청남도",7192
"우(禹)","전라북도",3737
"우(禹)","전라남도",4019
"우(禹)","경상북도",16206
"우(禹)","경상남도",12384
"우(禹)","제주특별자치도",1263
"원(元)","전국",129522
"원(元)","서울특별시",27104
"원(元)","부산광역시",5554
"원(元)","대구광역시",3080
"원(元)","인천광역시",8256
"원(元)","광주광역시",1318
"원(元)","대전광역시",3168
"원(元)","울산광역시",1966
"원(元)","세종특별자치시",483
"원(元)","경기도",41388
"원(元)","강원도",10181
"원(元)","충청북도",4887
"원(元)","충청남도",5782
"원(元)","전라북도",3336
"원(元)","전라남도",1335
"원(元)","경상북도",4808
"원(元)","경상남도",5196
"원(元)","제주특별자치도",1680
"위(魏)","전국",31342
"위(魏)","서울특별시",7076
"위(魏)","부산광역시",1949
"위(魏)","대구광역시",860
"위(魏)","인천광역시",1652
"위(魏)","광주광역시",2766
"위(魏)","대전광역시",513
"위(魏)","울산광역시",448
"위(魏)","세종특별자치시",84
"위(魏)","경기도",7481
"위(魏)","강원도",858
"위(魏)","충청북도",590
"위(魏)","충청남도",621
"위(魏)","전라북도",620
"위(魏)","전라남도",3156
"위(魏)","경상북도",1311
"위(魏)","경상남도",1096
"위(魏)","제주특별자치도",261
"유(兪)","전국",167927
"유(兪)","서울특별시",34096
"유(兪)","부산광역시",8837
"유(兪)","대구광역시",8108
"유(兪)","인천광역시",10149
"유(兪)","광주광역시",2863
"유(兪)","대전광역시",6496
"유(兪)","울산광역시",3895
"유(兪)","세종특별자치시",1377
"유(兪)","경기도",46827
"유(兪)","강원도",3561
"유(兪)","충청북도",4154
"유(兪)","충청남도",11683
"유(兪)","전라북도",4281
"유(兪)","전라남도",3910
"유(兪)","경상북도",8140
"유(兪)","경상남도",8340
"유(兪)","제주특별자치도",1210
"유(劉)","전국",302511
"유(劉)","서울특별시",59095
"유(劉)","부산광역시",18212
"유(劉)","대구광역시",10034
"유(劉)","인천광역시",20058
"유(劉)","광주광역시",8082
"유(劉)","대전광역시",9307
"유(劉)","울산광역시",6290
"유(劉)","세종특별자치시",1072
"유(劉)","경기도",78562
"유(劉)","강원도",11043
"유(劉)","충청북도",11604
"유(劉)","충청남도",13671
"유(劉)","전라북도",11772
"유(劉)","전라남도",10990
"유(劉)","경상북도",12903
"유(劉)","경상남도",18105
"유(劉)","제주특별자치도",1711
"유(庾)","전국",13868
"유(庾)","서울특별시",3144
"유(庾)","부산광역시",262
"유(庾)","대구광역시",171
"유(庾)","인천광역시",828
"유(庾)","광주광역시",572
"유(庾)","대전광역시",1698
"유(庾)","울산광역시",98
"유(庾)","세종특별자치시",74
"유(庾)","경기도",3645
"유(庾)","강원도",168
"유(庾)","충청북도",656
"유(庾)","충청남도",865
"유(庾)","전라북도",804
"유(庾)","전라남도",444
"유(庾)","경상북도",169
"유(庾)","경상남도",223
"유(庾)","제주특별자치도",47
"유(柳)","전국",478990
"유(柳)","서울특별시",108408
"유(柳)","부산광역시",19508
"유(柳)","대구광역시",8613
"유(柳)","인천광역시",32832
"유(柳)","광주광역시",11360
"유(柳)","대전광역시",18080
"유(柳)","울산광역시",4025
"유(柳)","세종특별자치시",2290
"유(柳)","경기도",138384
"유(柳)","강원도",13695
"유(柳)","충청북도",21301
"유(柳)","충청남도",27606
"유(柳)","전라북도",31039
"유(柳)","전라남도",10455
"유(柳)","경상북도",10941
"유(柳)","경상남도",18189
"유(柳)","제주특별자치도",2264
"육(陸)","전국",23455
"육(陸)","서울특별시",4379
"육(陸)","부산광역시",1016
"육(陸)","대구광역시",967
"육(陸)","인천광역시",1039
"육(陸)","광주광역시",154
"육(陸)","대전광역시",2675
"육(陸)","울산광역시",331
"육(陸)","세종특별자치시",196
"육(陸)","경기도",5193
"육(陸)","강원도",365
"육(陸)","충청북도",1657
"육(陸)","충청남도",1181
"육(陸)","전라북도",1611
"육(陸)","전라남도",245
"육(陸)","경상북도",1459
"육(陸)","경상남도",936
"육(陸)","제주특별자치도",51
"윤(尹)","전국",1020547
"윤(尹)","서울특별시",203672
"윤(尹)","부산광역시",66726
"윤(尹)","대구광역시",47969
"윤(尹)","인천광역시",60483
"윤(尹)","광주광역시",29897
"윤(尹)","대전광역시",33093
"윤(尹)","울산광역시",22460
"윤(尹)","세종특별자치시",4766
"윤(尹)","경기도",258708
"윤(尹)","강원도",29123
"윤(尹)","충청북도",33917
"윤(尹)","충청남도",46500
"윤(尹)","전라북도",27093
"윤(尹)","전라남도",34330
"윤(尹)","경상북도",50863
"윤(尹)","경상남도",61911
"윤(尹)","제주특별자치도",9036
"은(殷)","전국",16894
"은(殷)","서울특별시",3661
"은(殷)","부산광역시",551
"은(殷)","대구광역시",2015
"은(殷)","인천광역시",750
"은(殷)","광주광역시",490
"은(殷)","대전광역시",360
"은(殷)","울산광역시",251
"은(殷)","세종특별자치시",38
"은(殷)","경기도",4272
"은(殷)","강원도",254
"은(殷)","충청북도",241
"은(殷)","충청남도",342
"은(殷)","전라북도",1790
"은(殷)","전라남도",406
"은(殷)","경상북도",1015
"은(殷)","경상남도",393
"은(殷)","제주특별자치도",65
"음(陰)","전국",5604
"음(陰)","서울특별시",1150
"음(陰)","부산광역시",135
"음(陰)","대구광역시",194
"음(陰)","인천광역시",371
"음(陰)","광주광역시",60
"음(陰)","대전광역시",143
"음(陰)","울산광역시",53
"음(陰)","세종특별자치시",17
"음(陰)","경기도",1950
"음(陰)","강원도",125
"음(陰)","충청북도",732
"음(陰)","충청남도",155
"음(陰)","전라북도",74
"음(陰)","전라남도",169
"음(陰)","경상북도",140
"음(陰)","경상남도",126
"음(陰)","제주특별자치도",10
"이(李)","전국",7306828
"이(李)","서울특별시",1441796
"이(李)","부산광역시",469587
"이(李)","대구광역시",374123
"이(李)","인천광역시",424803
"이(李)","광주광역시",179688
"이(李)","대전광역시",230292
"이(李)","울산광역시",167221
