"성씨, 본관별","행정구역별(시군구)",2015
"공(孔)","울산광역시",2115
"공(孔)","세종특별자치시",278
"공(孔)","경기도",21704
"공(孔)","강원도",1567
"공(孔)","충청북도",1778
"공(孔)","충청남도",3112
"공(孔)","전라북도",2776
"공(孔)","전라남도",3621
"공(孔)","경상북도",3770
"공(孔)","경상남도",10341
"공(孔)","제주특별자치도",629
"곽(郭)","전국",203188
"곽(郭)","서울특별시",37861
"곽(郭)","부산광역시",15088
"곽(郭)","대구광역시",16016
"곽(郭)","인천광역시",10280
"곽(郭)","광주광역시",5835
"곽(郭)","대전광역시",6981
"곽(郭)","울산광역시",4284
"곽(郭)","세종특별자치시",962
"곽(郭)","경기도",45476
"곽(郭)","강원도",5034
"곽(郭)","충청북도",8025
"곽(郭)","충청남도",8232
"곽(郭)","전라북도",6284
"곽(郭)","전라남도",8590
"곽(郭)","경상북도",8732
"곽(郭)","경상남도",14338
"곽(郭)","제주특별자치도",1170
"구(丘)","전국",15382
"구(丘)","서울특별시",3855
"구(丘)","부산광역시",162
"구(丘)","대구광역시",126
"구(丘)","인천광역시",974
"구(丘)","광주광역시",60
"구(丘)","대전광역시",1175
"구(丘)","울산광역시",110
"구(丘)","세종특별자치시",106
"구(丘)","경기도",4781
"구(丘)","강원도",217
"구(丘)","충청북도",348
"구(丘)","충청남도",2432
"구(丘)","전라북도",539
"구(丘)","전라남도",93
"구(丘)","경상북도",224
"구(丘)","경상남도",130
"구(丘)","제주특별자치도",50
"구(具)","전국",193080
"구(具)","서울특별시",35002
"구(具)","부산광역시",17709
"구(具)","대구광역시",15187
"구(具)","인천광역시",11054
"구(具)","광주광역시",5072
"구(具)","대전광역시",5120
"구(具)","울산광역시",4245
"구(具)","세종특별자치시",626
"구(具)","경기도",42791
"구(具)","강원도",3115
"구(具)","충청북도",5101
"구(具)","충청남도",7629
"구(具)","전라북도",5101
"구(具)","전라남도",4535
"구(具)","경상북도",9776
"구(具)","경상남도",20237
"구(具)","제주특별자치도",780
"국(鞠)","전국",20547
"국(鞠)","서울특별시",4479
"국(鞠)","부산광역시",562
"국(鞠)","대구광역시",227
"국(鞠)","인천광역시",1071
"국(鞠)","광주광역시",1818
"국(鞠)","대전광역시",653
"국(鞠)","울산광역시",191
"국(鞠)","세종특별자치시",61
"국(鞠)","경기도",5014
"국(鞠)","강원도",203
"국(鞠)","충청북도",215
"국(鞠)","충청남도",1036
"국(鞠)","전라북도",3262
"국(鞠)","전라남도",1000
"국(鞠)","경상북도",290
"국(鞠)","경상남도",384
"국(鞠)","제주특별자치도",81
"권(權)","전국",705941
"권(權)","서울특별시",128754
"권(權)","부산광역시",46491
"권(權)","대구광역시",59078
"권(權)","인천광역시",36297
"권(權)","광주광역시",7051
"권(權)","대전광역시",18972
"권(權)","울산광역시",21683
"권(權)","세종특별자치시",2594
"권(權)","경기도",163222
"권(權)","강원도",25715
"권(權)","충청북도",24746
"권(權)","충청남도",21916
"권(權)","전라북도",17065
"권(權)","전라남도",9276
"권(權)","경상북도",80640
"권(權)","경상남도",39593
"권(權)","제주특별자치도",2848
"금(琴)","전국",25432
"금(琴)","서울특별시",4393
"금(琴)","부산광역시",1356
"금(琴)","대구광역시",2783
"금(琴)","인천광역시",1160
"금(琴)","광주광역시",102
"금(琴)","대전광역시",1187
"금(琴)","울산광역시",841
"금(琴)","세종특별자치시",130
"금(琴)","경기도",5521
"금(琴)","강원도",703
"금(琴)","충청북도",1033
"금(琴)","충청남도",626
"금(琴)","전라북도",219
"금(琴)","전라남도",123
"금(琴)","경상북도",4220
"금(琴)","경상남도",933
"금(琴)","제주특별자치도",102
"기(奇)","전국",28829
"기(奇)","서울특별시",6233
"기(奇)","부산광역시",966
"기(奇)","대구광역시",1346
"기(奇)","인천광역시",1772
"기(奇)","광주광역시",3779
"기(奇)","대전광역시",492
"기(奇)","울산광역시",346
"기(奇)","세종특별자치시",73
"기(奇)","경기도",7567
"기(奇)","강원도",425
"기(奇)","충청북도",396
"기(奇)","충청남도",745
"기(奇)","전라북도",1200
"기(奇)","전라남도",1645
"기(奇)","경상북도",945
"기(奇)","경상남도",782
"기(奇)","제주특별자치도",117
"길(吉)","전국",38173
"길(吉)","서울특별시",7600
"길(吉)","부산광역시",1529
"길(吉)","대구광역시",965
"길(吉)","인천광역시",2059
"길(吉)","광주광역시",436
"길(吉)","대전광역시",4309
"길(吉)","울산광역시",502
"길(吉)","세종특별자치시",233
"길(吉)","경기도",9977
"길(吉)","강원도",2566
"길(吉)","충청북도",1197
"길(吉)","충청남도",2881
"길(吉)","전라북도",1033
"길(吉)","전라남도",502
"길(吉)","경상북도",1129
"길(吉)","경상남도",1122
"길(吉)","제주특별자치도",133
"김(金)","전국",10689959
"김(金)","서울특별시",2025779
"김(金)","부산광역시",757159
"김(金)","대구광역시",521160
"김(金)","인천광역시",598187
"김(金)","광주광역시",338304
"김(金)","대전광역시",309274
"김(金)","울산광역시",262050
"김(金)","세종특별자치시",39432
"김(金)","경기도",2523923
"김(金)","강원도",338077
"김(金)","충청북도",315919
"김(金)","충청남도",423510
"김(金)","전라북도",382281
"김(金)","전라남도",413805
"김(金)","경상북도",603188
"김(金)","경상남도",697357
"김(金)","제주특별자치도",140554
"나(羅)","전국",160946
"나(羅)","서울특별시",35755
"나(羅)","부산광역시",5696
"나(羅)","대구광역시",5855
"나(羅)","인천광역시",10505
"나(羅)","광주광역시",14086
"나(羅)","대전광역시",4756
"나(羅)","울산광역시",1647
"나(羅)","세종특별자치시",578
"나(羅)","경기도",39901
"나(羅)","강원도",2940
"나(羅)","충청북도",4015
"나(羅)","충청남도",6486
"나(羅)","전라북도",7348
"나(羅)","전라남도",10604
"나(羅)","경상북도",4745
